Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,2134.6666666666665,74608.3507692308,5232.8,2.9,6.233333333333333
1996-01-02,2126.3333333333335,75005.55320512824,5235.641666666666,3.0,6.086666666666667
1996-01-03,2118.0,75402.75564102567,5238.483333333334,3.0,5.94
1996-01-04,2144.0,75799.9580769231,5241.325,2.8,5.856666666666667
1996-01-05,2170.0,76197.16051282054,5244.166666666667,2.8,5.773333333333333
1996-01-06,2196.0,76594.36294871797,5247.008333333333,2.8,5.69
1996-01-07,2254.3333333333335,76991.5653846154,5249.85,2.7,5.69
1996-01-08,2312.6666666666665,77388.76782051283,5252.691666666667,2.7,5.69
1996-01-09,2371.0,77785.97025641026,5255.533333333333,2.7,5.69
1996-01-10,2449.0,78183.17269230771,5258.375,3.0,5.773333333333333
1996-01-11,2527.0,78580.37512820514,5261.216666666666,3.1,5.856666666666667
1996-01-12,2605.0,78977.57756410257,5264.058333333333,2.8,5.94
1997-01-01,2648.3333333333335,79374.78,5266.9,2.6,5.94
1997-01-02,2691.6666666666665,79949.54833333334,5269.825,2.4,5.94
1997-01-03,2735.0,80524.31666666667,5272.75,2.2,5.94
1997-01-04,2779.6666666666665,81099.08499999999,5275.674999999999,2.1,6.043333333333334
1997-01-05,2824.3333333333335,81673.85333333333,5278.599999999999,2.1,6.1466666666666665
1997-01-06,2869.0,82248.62166666667,5281.525,2.1,6.25
1997-01-07,2855.0,82823.39,5284.45,2.4,6.416666666666667
1997-01-08,2841.0,83398.15833333333,5287.375,2.3,6.583333333333333
1997-01-09,2827.0,83972.92666666667,5290.3,2.2,6.75
1997-01-10,2797.6666666666665,84547.695,5293.225,2.2,6.916666666666667
1997-01-11,2768.3333333333335,85122.46333333333,5296.15,2.1,7.083333333333333
1997-01-12,2739.0,85697.23166666666,5299.075,1.9,7.25
1998-01-01,2740.0,86272.0,5302.0,1.8,7.25
1998-01-02,2741.0,86587.41666666667,5305.058333333333,1.8,7.25
1998-01-03,2742.0,86902.83333333333,5308.116666666667,1.9,7.25
1998-01-04,2698.0,87218.25,5311.175,2.1,7.333333333333333
1998-01-05,2654.0,87533.66666666667,5314.233333333334,2.2,7.416666666666667
1998-01-06,2610.0,87849.08333333333,5317.291666666667,1.9,7.5
1998-01-07,2629.0,88164.5,5320.35,1.7,7.5
1998-01-08,2648.0,88479.91666666667,5323.408333333333,1.6,7.5
1998-01-09,2667.0,88795.33333333333,5326.466666666666,1.7,7.5
1998-01-10,2663.3333333333335,89110.75,5329.525,1.6,7.083333333333333
1998-01-11,2659.6666666666665,89426.16666666667,5332.583333333333,1.7,6.666666666666667
1998-01-12,2656.0,89741.58333333333,5335.641666666666,1.9,6.25
1999-01-01,2644.0,90057.0,5338.7,2.0,6.0
1999-01-02,2632.0,90459.08333333333,5341.724999999999,1.9,5.75
1999-01-03,2620.0,90861.16666666667,5344.75,2.1,5.5
1999-01-04,2641.0,91263.25,5347.775,2.0,5.333333333333333
1999-01-05,2662.0,91665.33333333333,5350.8,1.7,5.166666666666667
1999-01-06,2683.0,92067.41666666667,5353.825,1.8,5.0
1999-01-07,2755.3333333333335,92469.5,5356.85,1.7,5.083333333333333
1999-01-08,2827.6666666666665,92871.58333333333,5359.875,1.6,5.166666666666667
1999-01-09,2900.0,93273.66666666667,5362.9,1.6,5.25
1999-01-10,2934.6666666666665,93675.75,5365.925,1.5,5.333333333333333
1999-01-11,2969.3333333333335,94077.83333333333,5368.95,1.5,5.416666666666667
1999-01-12,3004.0,94479.91666666667,5371.975,1.5,5.5
2000-01-01,3032.6666666666665,94882.0,5375.0,1.2,5.583333333333333
2000-01-02,3061.3333333333335,95285.08333333333,5377.125,1.2,5.666666666666667
2000-01-03,3090.0,95688.16666666667,5379.25,1.0,5.75
2000-01-04,3107.6666666666665,96091.25,5381.375,0.9,5.75
2000-01-05,3125.3333333333335,96494.33333333333,5383.5,1.0,5.75
2000-01-06,3143.0,96897.41666666667,5385.625,1.2,5.75
2000-01-07,3063.0,97300.5,5387.75,1.2,5.75
2000-01-08,2983.0,97703.58333333333,5389.875,1.0,5.75
2000-01-09,2903.0,98106.66666666667,5392.0,1.3,5.75
2000-01-10,2849.6666666666665,98509.75,5394.125,1.4,5.75
2000-01-11,2796.3333333333335,98912.83333333333,5396.25,1.5,5.75
2000-01-12,2743.0,99315.91666666667,5398.375,1.2,5.75
2001-01-01,2727.0,99719.0,5400.5,1.2,5.75
2001-01-02,2711.0,100041.0,5403.183333333333,1.2,5.75
2001-01-03,2695.0,100363.0,5405.866666666667,1.3,5.75
2001-01-04,2733.6666666666665,100685.0,5408.55,1.5,5.583333333333333
2001-01-05,2772.3333333333335,101007.0,5411.233333333334,1.9,5.416666666666667
2001-01-06,2811.0,101329.0,5413.916666666667,1.9,5.25
2001-01-07,2858.6666666666665,101651.0,5416.6,1.7,5.083333333333333
2001-01-08,2906.3333333333335,101973.0,5419.283333333333,2.1,4.916666666666667
2001-01-09,2954.0,102295.0,5421.966666666666,1.7,4.75
2001-01-10,2984.6666666666665,102617.0,5424.65,1.6,4.5
2001-01-11,3015.3333333333335,102939.0,5427.333333333333,1.2,4.25
2001-01-12,3046.0,103261.0,5430.016666666666,1.4,4.0
2002-01-01,3056.0,103583.0,5432.7,1.8,4.0
2002-01-02,3066.0,104128.5,5436.15,1.7,4.0
2002-01-03,3076.0,104674.0,5439.6,1.7,4.0
2002-01-04,3060.6666666666665,105219.5,5443.05,1.6,4.0
2002-01-05,3045.3333333333335,105765.0,5446.5,1.2,4.0
2002-01-06,3030.0,106310.5,5449.95,1.1,4.0
2002-01-07,3041.6666666666665,106856.0,5453.4,1.4,4.0
2002-01-08,3053.3333333333335,107401.5,5456.85,1.3,4.0
2002-01-09,3065.0,107947.0,5460.3,1.2,4.0
2002-01-10,3090.0,108492.5,5463.75,1.5,4.0
2002-01-11,3115.0,109038.0,5467.200000000001,1.6,4.0
2002-01-12,3140.0,109583.5,5470.650000000001,1.7,4.0
2003-01-01,3135.3333333333335,110129.0,5474.1,1.4,3.9166666666666665
2003-01-02,3130.6666666666665,110460.66666666667,5476.975,1.6,3.8333333333333335
2003-01-03,3126.0,110792.33333333333,5479.85,1.6,3.75
2003-01-04,3048.6666666666665,111124.0,5482.725,1.5,3.75
2003-01-05,2971.3333333333335,111455.66666666667,5485.6,1.3,3.75
2003-01-06,2894.0,111787.33333333333,5488.475,1.2,3.75
2003-01-07,2830.6666666666665,112119.0,5491.35,1.3,3.6666666666666665
2003-01-08,2767.3333333333335,112450.66666666667,5494.225,1.4,3.5833333333333335
2003-01-09,2704.0,112782.33333333333,5497.1,1.3,3.5
2003-01-10,2695.3333333333335,113114.0,5499.975,1.3,3.5833333333333335
2003-01-11,2686.6666666666665,113445.66666666667,5502.85,1.3,3.6666666666666665
2003-01-12,2678.0,113777.33333333333,5505.725,1.3,3.75
2004-01-01,2709.3333333333335,114109.0,5508.6,1.5,3.8333333333333335
2004-01-02,2740.6666666666665,114640.08333333333,5513.108333333334,1.4,3.9166666666666665
2004-01-03,2772.0,115171.16666666667,5517.616666666667,1.2,4.0
2004-01-04,2846.6666666666665,115702.25,5522.125,1.1,4.083333333333333
2004-01-05,2921.3333333333335,116233.33333333333,5526.633333333333,1.4,4.166666666666667
2004-01-06,2996.0,116764.41666666667,5531.141666666666,1.5,4.25
2004-01-07,3020.6666666666665,117295.5,5535.65,1.4,4.416666666666667
2004-01-08,3045.3333333333335,117826.58333333333,5540.158333333334,1.4,4.583333333333333
2004-01-09,3070.0,118357.66666666667,5544.666666666667,1.2,4.75
2004-01-10,3031.0,118888.75,5549.175,1.3,4.75
2004-01-11,2992.0,119419.83333333333,5553.683333333333,1.5,4.75
2004-01-12,2953.0,119950.91666666667,5558.191666666667,1.8,4.75
2005-01-01,2872.6666666666665,120482.0,5562.7,1.7,4.75
2005-01-02,2792.3333333333335,120976.0,5566.333333333333,1.7,4.75
2005-01-03,2712.0,121470.0,5569.966666666666,2.0,4.75
2005-01-04,2643.6666666666665,121964.0,5573.6,1.9,4.75
2005-01-05,2575.3333333333335,122458.0,5577.233333333334,1.9,4.75
2005-01-06,2507.0,122952.0,5580.866666666667,2.0,4.75
2005-01-07,2473.0,123446.0,5584.5,2.3,4.666666666666667
2005-01-08,2439.0,123940.0,5588.133333333333,2.4,4.583333333333333
2005-01-09,2405.0,124434.0,5591.766666666666,2.5,4.5
2005-01-10,2412.6666666666665,124928.0,5595.4,2.4,4.5
2005-01-11,2420.3333333333335,125422.0,5599.033333333334,2.2,4.5
2005-01-12,2428.0,125916.0,5602.666666666667,2.1,4.5
2006-01-01,2486.6666666666665,126410.0,5606.3,2.2,4.5
2006-01-02,2545.3333333333335,126820.83333333333,5610.233333333334,2.2,4.5
2006-01-03,2604.0,127231.66666666667,5614.166666666667,2.0,4.5
2006-01-04,2674.3333333333335,127642.5,5618.1,2.2,4.5
2006-01-05,2744.6666666666665,128053.33333333333,5622.033333333334,2.4,4.5
2006-01-06,2815.0,128464.16666666667,5625.966666666667,2.6,4.5
2006-01-07,2894.3333333333335,128875.0,5629.9,2.5,4.583333333333333
2006-01-08,2973.6666666666665,129285.83333333333,5633.833333333333,2.6,4.666666666666667
2006-01-09,3053.0,129696.66666666667,5637.766666666666,2.5,4.75
2006-01-10,3110.6666666666665,130107.5,5641.7,2.5,4.833333333333333
2006-01-11,3168.3333333333335,130518.33333333333,5645.633333333333,2.8,4.916666666666667
2006-01-12,3226.0,130929.16666666667,5649.566666666667,2.9,5.0
2007-01-01,3265.3333333333335,131340.0,5653.5,2.7,5.083333333333333
2007-01-02,3304.6666666666665,131707.5,5658.075,2.7,5.166666666666667
2007-01-03,3344.0,132075.0,5662.65,2.9,5.25
2007-01-04,3318.3333333333335,132442.5,5667.225,2.7,5.333333333333333
2007-01-05,3292.6666666666665,132810.0,5671.8,2.5,5.416666666666667
2007-01-06,3267.0,133177.5,5676.375,2.5,5.5
2007-01-07,3242.3333333333335,133545.0,5680.95,2.0,5.583333333333333
2007-01-08,3217.6666666666665,133912.5,5685.525,2.0,5.666666666666667
2007-01-09,3193.0,134280.0,5690.099999999999,2.0,5.75
2007-01-10,3122.3333333333335,134647.5,5694.674999999999,2.3,5.666666666666667
2007-01-11,3051.6666666666665,135015.0,5699.25,2.2,5.583333333333333
2007-01-12,2981.0,135382.5,5703.825,2.3,5.5
2008-01-01,2889.0,135750.0,5708.4,2.4,5.416666666666667
2008-01-02,2797.0,135382.08333333334,5711.983333333333,2.6,5.333333333333333
2008-01-03,2705.0,135014.16666666666,5715.566666666667,2.6,5.25
2008-01-04,2600.6666666666665,134646.25,5719.15,3.0,5.166666666666667
2008-01-05,2496.3333333333335,134278.33333333334,5722.733333333333,3.3,5.083333333333333
2008-01-06,2392.0,133910.41666666666,5726.316666666667,3.7,5.0
2008-01-07,2205.6666666666665,133542.5,5729.9,4.2,5.0
2008-01-08,2019.3333333333333,133174.58333333334,5733.483333333333,4.4,5.0
2008-01-09,1833.0,132806.66666666666,5737.066666666667,4.8,5.0
2008-01-10,1697.0,132438.75,5740.65,4.2,4.0
2008-01-11,1561.0,132070.83333333334,5744.233333333333,3.8,3.0
2008-01-12,1425.0,131702.91666666666,5747.816666666667,3.0,2.0
2009-01-01,1341.0,131335.0,5751.4,2.9,1.5
2009-01-02,1257.0,131622.83333333334,5756.066666666667,3.1,1.0
2009-01-03,1173.0,131910.66666666666,5760.733333333333,2.8,0.5
2009-01-04,1127.0,132198.5,5765.4,2.3,0.5
2009-01-05,1081.0,132486.33333333334,5770.066666666667,2.1,0.5
2009-01-06,1035.0,132774.16666666666,5774.733333333333,1.7,0.5
