Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,223333.33333333334,154259.504615385,6974.4,2.9,6.233333333333333
1996-01-02,226666.66666666666,155482.0075641029,6977.766666666666,3.0,6.086666666666667
1996-01-03,230000.0,156704.51051282082,6981.133333333333,3.0,5.94
1996-01-04,228333.33333333334,157927.01346153877,6984.5,2.8,5.856666666666667
1996-01-05,226666.66666666666,159149.51641025668,6987.866666666667,2.8,5.773333333333333
1996-01-06,225000.0,160372.0193589746,6991.233333333334,2.8,5.69
1996-01-07,223833.33333333334,161594.5223076925,6994.6,2.7,5.69
1996-01-08,222666.66666666666,162817.02525641042,6997.966666666666,2.7,5.69
1996-01-09,221500.0,164039.52820512833,7001.333333333333,2.7,5.69
1996-01-10,223666.66666666666,165262.03115384624,7004.7,3.0,5.773333333333333
1996-01-11,225833.33333333334,166484.53410256418,7008.066666666667,3.1,5.856666666666667
1996-01-12,228000.0,167707.0370512821,7011.433333333333,2.8,5.94
1997-01-01,227833.33333333334,168929.54,7014.8,2.6,5.94
1997-01-02,227666.66666666666,171163.82833333334,7019.025000000001,2.4,5.94
1997-01-03,227500.0,173398.11666666667,7023.25,2.2,5.94
1997-01-04,232333.33333333334,175632.405,7027.475,2.1,6.043333333333334
1997-01-05,237166.66666666666,177866.69333333333,7031.7,2.1,6.1466666666666665
1997-01-06,242000.0,180100.98166666666,7035.925,2.1,6.25
1997-01-07,253000.0,182335.27000000002,7040.15,2.4,6.416666666666667
1997-01-08,264000.0,184569.55833333335,7044.375,2.3,6.583333333333333
1997-01-09,275000.0,186803.84666666668,7048.6,2.2,6.75
1997-01-10,282333.3333333333,189038.135,7052.825,2.2,6.916666666666667
1997-01-11,289666.6666666667,191272.42333333334,7057.05,2.1,7.083333333333333
1997-01-12,297000.0,193506.71166666667,7061.275,1.9,7.25
1998-01-01,298166.6666666667,195741.0,7065.5,1.8,7.25
1998-01-02,299333.3333333333,196652.33333333334,7072.866666666667,1.8,7.25
1998-01-03,300500.0,197563.66666666666,7080.233333333334,1.9,7.25
1998-01-04,300750.0,198475.0,7087.6,2.1,7.333333333333333
1998-01-05,301000.0,199386.33333333334,7094.966666666666,2.2,7.416666666666667
1998-01-06,301250.0,200297.66666666666,7102.333333333333,1.9,7.5
1998-01-07,297666.6666666667,201209.0,7109.7,1.7,7.5
1998-01-08,294083.3333333333,202120.33333333334,7117.066666666667,1.6,7.5
1998-01-09,290500.0,203031.66666666666,7124.433333333333,1.7,7.5
1998-01-10,279000.0,203943.0,7131.799999999999,1.6,7.083333333333333
1998-01-11,267500.0,204854.33333333334,7139.166666666666,1.7,6.666666666666667
1998-01-12,256000.0,205765.66666666666,7146.533333333333,1.9,6.25
1999-01-01,261500.0,206677.0,7153.9,2.0,6.0
1999-01-02,267000.0,208021.83333333334,7160.799999999999,1.9,5.75
1999-01-03,272500.0,209366.66666666666,7167.7,2.1,5.5
1999-01-04,273333.3333333333,210711.5,7174.599999999999,2.0,5.333333333333333
1999-01-05,274166.6666666667,212056.33333333334,7181.5,1.7,5.166666666666667
1999-01-06,275000.0,213401.16666666666,7188.4,1.8,5.0
1999-01-07,290500.0,214746.0,7195.299999999999,1.7,5.083333333333333
1999-01-08,306000.0,216090.83333333334,7202.2,1.6,5.166666666666667
1999-01-09,321500.0,217435.66666666666,7209.099999999999,1.6,5.25
1999-01-10,331000.0,218780.5,7216.0,1.5,5.333333333333333
1999-01-11,340500.0,220125.33333333334,7222.9,1.5,5.416666666666667
1999-01-12,350000.0,221470.16666666666,7229.8,1.5,5.5
2000-01-01,352500.0,222815.0,7236.7,1.2,5.583333333333333
2000-01-02,355000.0,223359.0,7243.841666666666,1.2,5.666666666666667
2000-01-03,357500.0,223903.0,7250.983333333334,1.0,5.75
2000-01-04,366650.0,224447.0,7258.125,0.9,5.75
2000-01-05,375800.0,224991.0,7265.266666666666,1.0,5.75
2000-01-06,384950.0,225535.0,7272.408333333333,1.2,5.75
2000-01-07,381633.3333333333,226079.0,7279.549999999999,1.2,5.75
2000-01-08,378316.6666666667,226623.0,7286.691666666667,1.0,5.75
2000-01-09,375000.0,227167.0,7293.833333333333,1.3,5.75
2000-01-10,386666.6666666667,227711.0,7300.974999999999,1.4,5.75
2000-01-11,398333.3333333333,228255.0,7308.116666666667,1.5,5.75
2000-01-12,410000.0,228799.0,7315.258333333333,1.2,5.75
2001-01-01,411250.0,229343.0,7322.4,1.2,5.75
2001-01-02,412500.0,230048.16666666666,7326.924999999999,1.2,5.75
2001-01-03,413750.0,230753.33333333334,7331.45,1.3,5.75
2001-01-04,405333.3333333333,231458.5,7335.974999999999,1.5,5.583333333333333
2001-01-05,396916.6666666667,232163.66666666666,7340.5,1.9,5.416666666666667
2001-01-06,388500.0,232868.83333333334,7345.025,1.9,5.25
2001-01-07,392333.3333333333,233574.0,7349.549999999999,1.7,5.083333333333333
2001-01-08,396166.6666666667,234279.16666666666,7354.075,2.1,4.916666666666667
2001-01-09,400000.0,234984.33333333334,7358.599999999999,1.7,4.75
2001-01-10,399833.3333333333,235689.5,7363.125,1.6,4.5
2001-01-11,399666.6666666667,236394.66666666666,7367.65,1.2,4.25
2001-01-12,399500.0,237099.83333333334,7372.175,1.4,4.0
2002-01-01,413666.6666666667,237805.0,7376.7,1.8,4.0
2002-01-02,427833.3333333333,238941.08333333334,7378.208333333333,1.7,4.0
2002-01-03,442000.0,240077.16666666666,7379.716666666666,1.7,4.0
2002-01-04,440500.0,241213.25,7381.225,1.6,4.0
2002-01-05,439000.0,242349.33333333334,7382.733333333334,1.2,4.0
2002-01-06,437500.0,243485.41666666666,7384.241666666667,1.1,4.0
2002-01-07,450000.0,244621.5,7385.75,1.4,4.0
2002-01-08,462500.0,245757.58333333334,7387.258333333333,1.3,4.0
2002-01-09,475000.0,246893.66666666666,7388.766666666666,1.2,4.0
2002-01-10,475000.0,248029.75,7390.275,1.5,4.0
2002-01-11,475000.0,249165.83333333334,7391.783333333334,1.6,4.0
2002-01-12,475000.0,250301.91666666666,7393.291666666667,1.7,4.0
2003-01-01,475250.0,251438.0,7394.8,1.4,3.9166666666666665
2003-01-02,475500.0,252486.83333333334,7397.958333333334,1.6,3.8333333333333335
2003-01-03,475750.0,253535.66666666666,7401.116666666667,1.6,3.75
2003-01-04,480500.0,254584.5,7404.275,1.5,3.75
2003-01-05,485250.0,255633.33333333334,7407.433333333333,1.3,3.75
2003-01-06,490000.0,256682.16666666666,7410.591666666667,1.2,3.75
2003-01-07,493333.3333333333,257731.0,7413.75,1.3,3.6666666666666665
2003-01-08,496666.6666666667,258779.83333333334,7416.908333333333,1.4,3.5833333333333335
2003-01-09,500000.0,259828.66666666666,7420.066666666667,1.3,3.5
2003-01-10,500000.0,260877.5,7423.225,1.3,3.5833333333333335
2003-01-11,500000.0,261926.33333333334,7426.383333333333,1.3,3.6666666666666665
2003-01-12,500000.0,262975.1666666667,7429.541666666666,1.3,3.75
2004-01-01,500000.0,264024.0,7432.7,1.5,3.8333333333333335
2004-01-02,500000.0,265709.9166666667,7439.891666666666,1.4,3.9166666666666665
2004-01-03,500000.0,267395.8333333333,7447.083333333333,1.2,4.0
2004-01-04,500000.0,269081.75,7454.275,1.1,4.083333333333333
2004-01-05,500000.0,270767.6666666667,7461.466666666666,1.4,4.166666666666667
2004-01-06,500000.0,272453.5833333333,7468.658333333333,1.5,4.25
2004-01-07,515833.3333333333,274139.5,7475.85,1.4,4.416666666666667
2004-01-08,531666.6666666666,275825.4166666667,7483.041666666667,1.4,4.583333333333333
2004-01-09,547500.0,277511.3333333333,7490.233333333334,1.2,4.75
2004-01-10,538333.3333333334,279197.25,7497.425,1.3,4.75
2004-01-11,529166.6666666666,280883.1666666667,7504.616666666667,1.5,4.75
2004-01-12,520000.0,282569.0833333333,7511.808333333333,1.8,4.75
2005-01-01,543325.0,284255.0,7519.0,1.7,4.75
2005-01-02,566650.0,285704.5833333333,7525.566666666667,1.7,4.75
2005-01-03,589975.0,287154.1666666667,7532.133333333333,2.0,4.75
2005-01-04,595316.6666666666,288603.75,7538.7,1.9,4.75
2005-01-05,600658.3333333334,290053.3333333333,7545.266666666666,1.9,4.75
2005-01-06,606000.0,291502.9166666667,7551.833333333333,2.0,4.75
2005-01-07,604000.0,292952.5,7558.4,2.3,4.666666666666667
2005-01-08,602000.0,294402.0833333333,7564.966666666667,2.4,4.583333333333333
2005-01-09,600000.0,295851.6666666667,7571.533333333334,2.5,4.5
2005-01-10,603000.0,297301.25,7578.1,2.4,4.5
2005-01-11,606000.0,298750.8333333333,7584.666666666667,2.2,4.5
2005-01-12,609000.0,300200.4166666667,7591.233333333334,2.1,4.5
2006-01-01,589666.6666666666,301650.0,7597.8,2.2,4.5
2006-01-02,570333.3333333334,303794.25,7605.775000000001,2.2,4.5
2006-01-03,551000.0,305938.5,7613.75,2.0,4.5
2006-01-04,575666.6666666666,308082.75,7621.725,2.2,4.5
2006-01-05,600333.3333333334,310227.0,7629.7,2.4,4.5
2006-01-06,625000.0,312371.25,7637.675,2.6,4.5
2006-01-07,633333.3333333334,314515.5,7645.65,2.5,4.583333333333333
2006-01-08,641666.6666666666,316659.75,7653.625,2.6,4.666666666666667
2006-01-09,650000.0,318804.0,7661.6,2.5,4.75
2006-01-10,662500.0,320948.25,7669.575,2.5,4.833333333333333
2006-01-11,675000.0,323092.5,7677.55,2.8,4.916666666666667
2006-01-12,687500.0,325236.75,7685.525,2.9,5.0
2007-01-01,687500.0,327381.0,7693.5,2.7,5.083333333333333
2007-01-02,687500.0,327982.75,7703.391666666666,2.7,5.166666666666667
2007-01-03,687500.0,328584.5,7713.283333333333,2.9,5.25
2007-01-04,687916.6666666666,329186.25,7723.175,2.7,5.333333333333333
2007-01-05,688333.3333333334,329788.0,7733.066666666667,2.5,5.416666666666667
2007-01-06,688750.0,330389.75,7742.958333333333,2.5,5.5
2007-01-07,707500.0,330991.5,7752.85,2.0,5.583333333333333
2007-01-08,726250.0,331593.25,7762.741666666667,2.0,5.666666666666667
2007-01-09,745000.0,332195.0,7772.633333333333,2.0,5.75
2007-01-10,764775.0,332796.75,7782.525,2.3,5.666666666666667
2007-01-11,784550.0,333398.5,7792.416666666666,2.2,5.583333333333333
2007-01-12,804325.0,334000.25,7802.308333333333,2.3,5.5
2008-01-01,819550.0,334602.0,7812.2,2.4,5.416666666666667
2008-01-02,834775.0,334006.4166666667,7823.066666666667,2.6,5.333333333333333
2008-01-03,850000.0,333410.8333333333,7833.933333333333,2.6,5.25
2008-01-04,833333.3333333334,332815.25,7844.8,3.0,5.166666666666667
2008-01-05,816666.6666666666,332219.6666666667,7855.666666666667,3.3,5.083333333333333
2008-01-06,800000.0,331624.0833333333,7866.533333333334,3.7,5.0
2008-01-07,810000.0,331028.5,7877.4,4.2,5.0
2008-01-08,820000.0,330432.9166666667,7888.266666666666,4.4,5.0
2008-01-09,830000.0,329837.3333333333,7899.133333333333,4.8,5.0
2008-01-10,807333.3333333334,329241.75,7910.0,4.2,4.0
2008-01-11,784666.6666666666,328646.1666666667,7920.866666666667,3.8,3.0
2008-01-12,762000.0,328050.5833333333,7931.733333333334,3.0,2.0
2009-01-01,738000.0,327455.0,7942.6,2.9,1.5
2009-01-02,714000.0,328800.4166666667,7952.508333333333,3.1,1.0
2009-01-03,690000.0,330145.8333333333,7962.416666666667,2.8,0.5
2009-01-04,690000.0,331491.25,7972.325000000001,2.3,0.5
2009-01-05,690000.0,332836.6666666667,7982.233333333334,2.1,0.5
2009-01-06,690000.0,334182.0833333333,7992.141666666666,1.7,0.5
2009-01-07,688333.3333333334,335527.5,8002.05,1.6,0.5
2009-01-08,686666.6666666666,336872.9166666667,8011.958333333334,1.4,0.5
2009-01-09,685000.0,338218.3333333333,8021.866666666667,1.0,0.5
2009-01-10,688333.3333333334,339563.75,8031.775,1.2,0.5
2009-01-11,691666.6666666666,340909.1666666667,8041.683333333333,1.5,0.5
2009-01-12,695000.0,342254.5833333333,8051.591666666667,2.1,0.5
2010-01-01,710000.0,343600.0,8061.5,2.6,0.5
2010-01-02,725000.0,344906.0833333333,8073.408333333333,2.1,0.5
2010-01-03,740000.0,346212.1666666667,8085.316666666667,2.4,0.5
2010-01-04,752083.3333333334,347518.25,8097.225,2.7,0.5
2010-01-05,764166.6666666666,348824.3333333333,8109.133333333333,2.5,0.5
2010-01-06,776250.0,350130.4166666667,8121.041666666666,2.4,0.5
2010-01-07,776250.0,351436.5,8132.95,2.3,0.5
2010-01-08,776250.0,352742.5833333333,8144.858333333334,2.4,0.5
2010-01-09,776250.0,354048.6666666667,8156.766666666666,2.4,0.5
2010-01-10,783166.6666666666,355354.75,8168.674999999999,2.5,0.5
2010-01-11,790083.3333333334,356660.8333333333,8180.583333333333,2.6,0.5
2010-01-12,797000.0,357966.9166666667,8192.491666666667,3.1,0.5
2011-01-01,825500.0,359273.0,8204.4,3.4,0.5
2011-01-02,854000.0,360426.4166666667,8213.066666666666,3.7,0.5
2011-01-03,882500.0,361579.8333333333,8221.733333333334,3.5,0.5
2011-01-04,886666.6666666666,362733.25,8230.4,3.8,0.5
2011-01-05,890833.3333333334,363886.6666666667,8239.066666666666,3.8,0.5
2011-01-06,895000.0,365040.0833333333,8247.733333333334,3.6,0.5
