Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,417.0,154259.504615385,6974.4,2.9,6.233333333333333
1996-01-02,413.0,155482.0075641029,6977.766666666666,3.0,6.086666666666667
1996-01-03,409.0,156704.51051282082,6981.133333333333,3.0,5.94
1996-01-04,406.3333333333333,157927.01346153877,6984.5,2.8,5.856666666666667
1996-01-05,403.6666666666667,159149.51641025668,6987.866666666667,2.8,5.773333333333333
1996-01-06,401.0,160372.0193589746,6991.233333333334,2.8,5.69
1996-01-07,409.0,161594.5223076925,6994.6,2.7,5.69
1996-01-08,417.0,162817.02525641042,6997.966666666666,2.7,5.69
1996-01-09,425.0,164039.52820512833,7001.333333333333,2.7,5.69
1996-01-10,443.6666666666667,165262.03115384624,7004.7,3.0,5.773333333333333
1996-01-11,462.3333333333333,166484.53410256418,7008.066666666667,3.1,5.856666666666667
1996-01-12,481.0,167707.0370512821,7011.433333333333,2.8,5.94
1997-01-01,489.3333333333333,168929.54,7014.8,2.6,5.94
1997-01-02,497.6666666666667,171163.82833333334,7019.025000000001,2.4,5.94
1997-01-03,506.0,173398.11666666667,7023.25,2.2,5.94
1997-01-04,518.6666666666666,175632.405,7027.475,2.1,6.043333333333334
1997-01-05,531.3333333333334,177866.69333333333,7031.7,2.1,6.1466666666666665
1997-01-06,544.0,180100.98166666666,7035.925,2.1,6.25
1997-01-07,561.6666666666666,182335.27000000002,7040.15,2.4,6.416666666666667
1997-01-08,579.3333333333334,184569.55833333335,7044.375,2.3,6.583333333333333
1997-01-09,597.0,186803.84666666668,7048.6,2.2,6.75
1997-01-10,601.6666666666666,189038.135,7052.825,2.2,6.916666666666667
1997-01-11,606.3333333333334,191272.42333333334,7057.05,2.1,7.083333333333333
1997-01-12,611.0,193506.71166666667,7061.275,1.9,7.25
1998-01-01,622.3333333333334,195741.0,7065.5,1.8,7.25
1998-01-02,633.6666666666666,196652.33333333334,7072.866666666667,1.8,7.25
1998-01-03,645.0,197563.66666666666,7080.233333333334,1.9,7.25
1998-01-04,643.3333333333334,198475.0,7087.6,2.1,7.333333333333333
1998-01-05,641.6666666666666,199386.33333333334,7094.966666666666,2.2,7.416666666666667
1998-01-06,640.0,200297.66666666666,7102.333333333333,1.9,7.5
1998-01-07,623.3333333333334,201209.0,7109.7,1.7,7.5
1998-01-08,606.6666666666666,202120.33333333334,7117.066666666667,1.6,7.5
1998-01-09,590.0,203031.66666666666,7124.433333333333,1.7,7.5
1998-01-10,578.3333333333334,203943.0,7131.799999999999,1.6,7.083333333333333
1998-01-11,566.6666666666666,204854.33333333334,7139.166666666666,1.7,6.666666666666667
1998-01-12,555.0,205765.66666666666,7146.533333333333,1.9,6.25
1999-01-01,536.0,206677.0,7153.9,2.0,6.0
1999-01-02,517.0,208021.83333333334,7160.799999999999,1.9,5.75
1999-01-03,498.0,209366.66666666666,7167.7,2.1,5.5
1999-01-04,501.0,210711.5,7174.599999999999,2.0,5.333333333333333
1999-01-05,504.0,212056.33333333334,7181.5,1.7,5.166666666666667
1999-01-06,507.0,213401.16666666666,7188.4,1.8,5.0
1999-01-07,516.6666666666666,214746.0,7195.299999999999,1.7,5.083333333333333
1999-01-08,526.3333333333334,216090.83333333334,7202.2,1.6,5.166666666666667
1999-01-09,536.0,217435.66666666666,7209.099999999999,1.6,5.25
1999-01-10,548.0,218780.5,7216.0,1.5,5.333333333333333
1999-01-11,560.0,220125.33333333334,7222.9,1.5,5.416666666666667
1999-01-12,572.0,221470.16666666666,7229.8,1.5,5.5
2000-01-01,587.3333333333334,222815.0,7236.7,1.2,5.583333333333333
2000-01-02,602.6666666666666,223359.0,7243.841666666666,1.2,5.666666666666667
2000-01-03,618.0,223903.0,7250.983333333334,1.0,5.75
2000-01-04,618.0,224447.0,7258.125,0.9,5.75
2000-01-05,618.0,224991.0,7265.266666666666,1.0,5.75
2000-01-06,618.0,225535.0,7272.408333333333,1.2,5.75
2000-01-07,596.3333333333334,226079.0,7279.549999999999,1.2,5.75
2000-01-08,574.6666666666666,226623.0,7286.691666666667,1.0,5.75
2000-01-09,553.0,227167.0,7293.833333333333,1.3,5.75
2000-01-10,536.0,227711.0,7300.974999999999,1.4,5.75
2000-01-11,519.0,228255.0,7308.116666666667,1.5,5.75
2000-01-12,502.0,228799.0,7315.258333333333,1.2,5.75
2001-01-01,492.0,229343.0,7322.4,1.2,5.75
2001-01-02,482.0,230048.16666666666,7326.924999999999,1.2,5.75
2001-01-03,472.0,230753.33333333334,7331.45,1.3,5.75
2001-01-04,470.0,231458.5,7335.974999999999,1.5,5.583333333333333
2001-01-05,468.0,232163.66666666666,7340.5,1.9,5.416666666666667
2001-01-06,466.0,232868.83333333334,7345.025,1.9,5.25
2001-01-07,477.6666666666667,233574.0,7349.549999999999,1.7,5.083333333333333
2001-01-08,489.3333333333333,234279.16666666666,7354.075,2.1,4.916666666666667
2001-01-09,501.0,234984.33333333334,7358.599999999999,1.7,4.75
2001-01-10,509.0,235689.5,7363.125,1.6,4.5
2001-01-11,517.0,236394.66666666666,7367.65,1.2,4.25
2001-01-12,525.0,237099.83333333334,7372.175,1.4,4.0
2002-01-01,532.6666666666666,237805.0,7376.7,1.8,4.0
2002-01-02,540.3333333333334,238941.08333333334,7378.208333333333,1.7,4.0
2002-01-03,548.0,240077.16666666666,7379.716666666666,1.7,4.0
2002-01-04,554.6666666666666,241213.25,7381.225,1.6,4.0
2002-01-05,561.3333333333334,242349.33333333334,7382.733333333334,1.2,4.0
2002-01-06,568.0,243485.41666666666,7384.241666666667,1.1,4.0
2002-01-07,575.3333333333334,244621.5,7385.75,1.4,4.0
2002-01-08,582.6666666666666,245757.58333333334,7387.258333333333,1.3,4.0
2002-01-09,590.0,246893.66666666666,7388.766666666666,1.2,4.0
2002-01-10,591.6666666666666,248029.75,7390.275,1.5,4.0
2002-01-11,593.3333333333334,249165.83333333334,7391.783333333334,1.6,4.0
2002-01-12,595.0,250301.91666666666,7393.291666666667,1.7,4.0
2003-01-01,583.6666666666666,251438.0,7394.8,1.4,3.9166666666666665
2003-01-02,572.3333333333334,252486.83333333334,7397.958333333334,1.6,3.8333333333333335
2003-01-03,561.0,253535.66666666666,7401.116666666667,1.6,3.75
2003-01-04,543.0,254584.5,7404.275,1.5,3.75
2003-01-05,525.0,255633.33333333334,7407.433333333333,1.3,3.75
2003-01-06,507.0,256682.16666666666,7410.591666666667,1.2,3.75
2003-01-07,491.3333333333333,257731.0,7413.75,1.3,3.6666666666666665
2003-01-08,475.6666666666667,258779.83333333334,7416.908333333333,1.4,3.5833333333333335
2003-01-09,460.0,259828.66666666666,7420.066666666667,1.3,3.5
2003-01-10,465.6666666666667,260877.5,7423.225,1.3,3.5833333333333335
2003-01-11,471.3333333333333,261926.33333333334,7426.383333333333,1.3,3.6666666666666665
2003-01-12,477.0,262975.1666666667,7429.541666666666,1.3,3.75
2004-01-01,479.6666666666667,264024.0,7432.7,1.5,3.8333333333333335
2004-01-02,482.3333333333333,265709.9166666667,7439.891666666666,1.4,3.9166666666666665
2004-01-03,485.0,267395.8333333333,7447.083333333333,1.2,4.0
