Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,459.3333333333333,86273.0046153846,6809.6,2.9,6.233333333333333
1996-01-02,460.6666666666667,86724.08506410256,6808.333333333334,3.0,6.086666666666667
1996-01-03,462.0,87175.1655128205,6807.066666666667,3.0,5.94
1996-01-04,472.3333333333333,87626.24596153846,6805.8,2.8,5.856666666666667
1996-01-05,482.6666666666667,88077.3264102564,6804.533333333334,2.8,5.773333333333333
1996-01-06,493.0,88528.40685897435,6803.266666666666,2.8,5.69
1996-01-07,508.3333333333333,88979.4873076923,6802.0,2.7,5.69
1996-01-08,523.6666666666666,89430.56775641025,6800.733333333334,2.7,5.69
1996-01-09,539.0,89881.64820512821,6799.466666666666,2.7,5.69
1996-01-10,565.0,90332.72865384615,6798.2,3.0,5.773333333333333
1996-01-11,591.0,90783.8091025641,6796.933333333333,3.1,5.856666666666667
1996-01-12,617.0,91234.88955128205,6795.666666666666,2.8,5.94
1997-01-01,639.0,91685.97,6794.4,2.6,5.94
1997-01-02,661.0,92319.38916666666,6794.216666666666,2.4,5.94
1997-01-03,683.0,92952.80833333333,6794.033333333333,2.2,5.94
1997-01-04,701.6666666666666,93586.22750000001,6793.849999999999,2.1,6.043333333333334
1997-01-05,720.3333333333334,94219.64666666667,6793.666666666666,2.1,6.1466666666666665
1997-01-06,739.0,94853.06583333333,6793.483333333333,2.1,6.25
1997-01-07,747.3333333333334,95486.485,6793.299999999999,2.4,6.416666666666667
1997-01-08,755.6666666666666,96119.90416666667,6793.116666666667,2.3,6.583333333333333
1997-01-09,764.0,96753.32333333333,6792.933333333333,2.2,6.75
1997-01-10,762.6666666666666,97386.7425,6792.75,2.2,6.916666666666667
1997-01-11,761.3333333333334,98020.16166666667,6792.566666666667,2.1,7.083333333333333
1997-01-12,760.0,98653.58083333334,6792.383333333333,1.9,7.25
1998-01-01,755.0,99287.0,6792.2,1.8,7.25
1998-01-02,750.0,99705.66666666667,6790.608333333334,1.8,7.25
1998-01-03,745.0,100124.33333333333,6789.016666666666,1.9,7.25
1998-01-04,735.0,100543.0,6787.425,2.1,7.333333333333333
1998-01-05,725.0,100961.66666666667,6785.833333333333,2.2,7.416666666666667
1998-01-06,715.0,101380.33333333333,6784.241666666667,1.9,7.5
1998-01-07,719.6666666666666,101799.0,6782.65,1.7,7.5
1998-01-08,724.3333333333334,102217.66666666667,6781.058333333333,1.6,7.5
1998-01-09,729.0,102636.33333333333,6779.466666666667,1.7,7.5
1998-01-10,725.3333333333334,103055.0,6777.875,1.6,7.083333333333333
1998-01-11,721.6666666666666,103473.66666666667,6776.283333333334,1.7,6.666666666666667
1998-01-12,718.0,103892.33333333333,6774.691666666667,1.9,6.25
1999-01-01,716.6666666666666,104311.0,6773.1,2.0,6.0
1999-01-02,715.3333333333334,104547.5,6773.191666666667,1.9,5.75
1999-01-03,714.0,104784.0,6773.283333333334,2.1,5.5
1999-01-04,711.0,105020.5,6773.375,2.0,5.333333333333333
1999-01-05,708.0,105257.0,6773.466666666667,1.7,5.166666666666667
1999-01-06,705.0,105493.5,6773.558333333333,1.8,5.0
1999-01-07,702.6666666666666,105730.0,6773.65,1.7,5.083333333333333
1999-01-08,700.3333333333334,105966.5,6773.741666666667,1.6,5.166666666666667
1999-01-09,698.0,106203.0,6773.833333333333,1.6,5.25
1999-01-10,703.3333333333334,106439.5,6773.925,1.5,5.333333333333333
1999-01-11,708.6666666666666,106676.0,6774.016666666666,1.5,5.416666666666667
1999-01-12,714.0,106912.5,6774.108333333334,1.5,5.5
2000-01-01,723.3333333333334,107149.0,6774.2,1.2,5.583333333333333
2000-01-02,732.6666666666666,107653.83333333333,6774.099999999999,1.2,5.666666666666667
2000-01-03,742.0,108158.66666666667,6774.0,1.0,5.75
2000-01-04,756.0,108663.5,6773.9,0.9,5.75
2000-01-05,770.0,109168.33333333333,6773.8,1.0,5.75
2000-01-06,784.0,109673.16666666667,6773.7,1.2,5.75
2000-01-07,777.0,110178.0,6773.6,1.2,5.75
2000-01-08,770.0,110682.83333333333,6773.5,1.0,5.75
2000-01-09,763.0,111187.66666666667,6773.4,1.3,5.75
2000-01-10,764.6666666666666,111692.5,6773.3,1.4,5.75
2000-01-11,766.3333333333334,112197.33333333333,6773.2,1.5,5.75
2000-01-12,768.0,112702.16666666667,6773.1,1.2,5.75
2001-01-01,754.6666666666666,113207.0,6773.0,1.2,5.75
2001-01-02,741.3333333333334,113646.75,6773.991666666667,1.2,5.75
2001-01-03,728.0,114086.5,6774.983333333334,1.3,5.75
2001-01-04,729.0,114526.25,6775.975,1.5,5.583333333333333
2001-01-05,730.0,114966.0,6776.966666666666,1.9,5.416666666666667
2001-01-06,731.0,115405.75,6777.958333333333,1.9,5.25
2001-01-07,739.6666666666666,115845.5,6778.95,1.7,5.083333333333333
2001-01-08,748.3333333333334,116285.25,6779.941666666667,2.1,4.916666666666667
2001-01-09,757.0,116725.0,6780.933333333333,1.7,4.75
2001-01-10,758.0,117164.75,6781.924999999999,1.6,4.5
2001-01-11,759.0,117604.5,6782.916666666666,1.2,4.25
2001-01-12,760.0,118044.25,6783.908333333333,1.4,4.0
2002-01-01,766.3333333333334,118484.0,6784.9,1.8,4.0
2002-01-02,772.6666666666666,119034.08333333333,6787.383333333333,1.7,4.0
2002-01-03,779.0,119584.16666666667,6789.866666666667,1.7,4.0
2002-01-04,782.6666666666666,120134.25,6792.349999999999,1.6,4.0
2002-01-05,786.3333333333334,120684.33333333333,6794.833333333333,1.2,4.0
2002-01-06,790.0,121234.41666666667,6797.316666666667,1.1,4.0
2002-01-07,801.0,121784.5,6799.799999999999,1.4,4.0
2002-01-08,812.0,122334.58333333333,6802.283333333333,1.3,4.0
2002-01-09,823.0,122884.66666666667,6804.766666666666,1.2,4.0
2002-01-10,831.3333333333334,123434.75,6807.25,1.5,4.0
