Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,1663.3333333333333,86273.0046153846,6809.6,2.9,6.233333333333333
1996-01-02,1640.6666666666667,86724.08506410256,6808.333333333334,3.0,6.086666666666667
1996-01-03,1618.0,87175.1655128205,6807.066666666667,3.0,5.94
1996-01-04,1646.6666666666667,87626.24596153846,6805.8,2.8,5.856666666666667
1996-01-05,1675.3333333333333,88077.3264102564,6804.533333333334,2.8,5.773333333333333
1996-01-06,1704.0,88528.40685897435,6803.266666666666,2.8,5.69
1996-01-07,1738.0,88979.4873076923,6802.0,2.7,5.69
1996-01-08,1772.0,89430.56775641025,6800.733333333334,2.7,5.69
1996-01-09,1806.0,89881.64820512821,6799.466666666666,2.7,5.69
1996-01-10,1860.6666666666667,90332.72865384615,6798.2,3.0,5.773333333333333
1996-01-11,1915.3333333333333,90783.8091025641,6796.933333333333,3.1,5.856666666666667
1996-01-12,1970.0,91234.88955128205,6795.666666666666,2.8,5.94
1997-01-01,2013.0,91685.97,6794.4,2.6,5.94
1997-01-02,2056.0,92319.38916666666,6794.216666666666,2.4,5.94
1997-01-03,2099.0,92952.80833333333,6794.033333333333,2.2,5.94
1997-01-04,2149.6666666666665,93586.22750000001,6793.849999999999,2.1,6.043333333333334
1997-01-05,2200.3333333333335,94219.64666666667,6793.666666666666,2.1,6.1466666666666665
1997-01-06,2251.0,94853.06583333333,6793.483333333333,2.1,6.25
1997-01-07,2293.3333333333335,95486.485,6793.299999999999,2.4,6.416666666666667
1997-01-08,2335.6666666666665,96119.90416666667,6793.116666666667,2.3,6.583333333333333
1997-01-09,2378.0,96753.32333333333,6792.933333333333,2.2,6.75
1997-01-10,2370.3333333333335,97386.7425,6792.75,2.2,6.916666666666667
1997-01-11,2362.6666666666665,98020.16166666667,6792.566666666667,2.1,7.083333333333333
1997-01-12,2355.0,98653.58083333334,6792.383333333333,1.9,7.25
1998-01-01,2361.6666666666665,99287.0,6792.2,1.8,7.25
1998-01-02,2368.3333333333335,99705.66666666667,6790.608333333334,1.8,7.25
1998-01-03,2375.0,100124.33333333333,6789.016666666666,1.9,7.25
1998-01-04,2375.0,100543.0,6787.425,2.1,7.333333333333333
1998-01-05,2375.0,100961.66666666667,6785.833333333333,2.2,7.416666666666667
1998-01-06,2375.0,101380.33333333333,6784.241666666667,1.9,7.5
1998-01-07,2380.0,101799.0,6782.65,1.7,7.5
1998-01-08,2385.0,102217.66666666667,6781.058333333333,1.6,7.5
1998-01-09,2390.0,102636.33333333333,6779.466666666667,1.7,7.5
1998-01-10,2377.3333333333335,103055.0,6777.875,1.6,7.083333333333333
1998-01-11,2364.6666666666665,103473.66666666667,6776.283333333334,1.7,6.666666666666667
1998-01-12,2352.0,103892.33333333333,6774.691666666667,1.9,6.25
1999-01-01,2358.3333333333335,104311.0,6773.1,2.0,6.0
1999-01-02,2364.6666666666665,104547.5,6773.191666666667,1.9,5.75
1999-01-03,2371.0,104784.0,6773.283333333334,2.1,5.5
1999-01-04,2372.0,105020.5,6773.375,2.0,5.333333333333333
1999-01-05,2373.0,105257.0,6773.466666666667,1.7,5.166666666666667
1999-01-06,2374.0,105493.5,6773.558333333333,1.8,5.0
1999-01-07,2392.6666666666665,105730.0,6773.65,1.7,5.083333333333333
1999-01-08,2411.3333333333335,105966.5,6773.741666666667,1.6,5.166666666666667
1999-01-09,2430.0,106203.0,6773.833333333333,1.6,5.25
1999-01-10,2511.6666666666665,106439.5,6773.925,1.5,5.333333333333333
1999-01-11,2593.3333333333335,106676.0,6774.016666666666,1.5,5.416666666666667
1999-01-12,2675.0,106912.5,6774.108333333334,1.5,5.5
2000-01-01,2703.3333333333335,107149.0,6774.2,1.2,5.583333333333333
2000-01-02,2731.6666666666665,107653.83333333333,6774.099999999999,1.2,5.666666666666667
2000-01-03,2760.0,108158.66666666667,6774.0,1.0,5.75
2000-01-04,2810.0,108663.5,6773.9,0.9,5.75
2000-01-05,2860.0,109168.33333333333,6773.8,1.0,5.75
2000-01-06,2910.0,109673.16666666667,6773.7,1.2,5.75
2000-01-07,2876.0,110178.0,6773.6,1.2,5.75
2000-01-08,2842.0,110682.83333333333,6773.5,1.0,5.75
2000-01-09,2808.0,111187.66666666667,6773.4,1.3,5.75
2000-01-10,2736.6666666666665,111692.5,6773.3,1.4,5.75
2000-01-11,2665.3333333333335,112197.33333333333,6773.2,1.5,5.75
2000-01-12,2594.0,112702.16666666667,6773.1,1.2,5.75
2001-01-01,2581.0,113207.0,6773.0,1.2,5.75
2001-01-02,2568.0,113646.75,6773.991666666667,1.2,5.75
2001-01-03,2555.0,114086.5,6774.983333333334,1.3,5.75
2001-01-04,2545.6666666666665,114526.25,6775.975,1.5,5.583333333333333
2001-01-05,2536.3333333333335,114966.0,6776.966666666666,1.9,5.416666666666667
2001-01-06,2527.0,115405.75,6777.958333333333,1.9,5.25
2001-01-07,2574.0,115845.5,6778.95,1.7,5.083333333333333
2001-01-08,2621.0,116285.25,6779.941666666667,2.1,4.916666666666667
2001-01-09,2668.0,116725.0,6780.933333333333,1.7,4.75
2001-01-10,2705.3333333333335,117164.75,6781.924999999999,1.6,4.5
