Date,Statistic,GDP,Population,Inflation Rate,Interest Rate
1996-01-01,63583.333333333336,62910.6230769231,4961.3,2.9,6.233333333333333
1996-01-02,63666.666666666664,63208.66532051284,4960.991666666667,3.0,6.086666666666667
1996-01-03,63750.0,63506.70756410258,4960.683333333333,3.0,5.94
1996-01-04,64000.0,63804.74980769232,4960.375,2.8,5.856666666666667
1996-01-05,64250.0,64102.792051282064,4960.066666666667,2.8,5.773333333333333
1996-01-06,64500.0,64400.834294871805,4959.758333333333,2.8,5.69
1996-01-07,64666.666666666664,64698.876538461554,4959.450000000001,2.7,5.69
1996-01-08,64833.333333333336,64996.918782051296,4959.141666666667,2.7,5.69
1996-01-09,65000.0,65294.96102564104,4958.833333333334,2.7,5.69
1996-01-10,65500.0,65593.00326923077,4958.525000000001,3.0,5.773333333333333
1996-01-11,66000.0,65891.04551282052,4958.216666666667,3.1,5.856666666666667
1996-01-12,66500.0,66189.08775641026,4957.908333333334,2.8,5.94
1997-01-01,66666.66666666667,66487.13,4957.6,2.6,5.94
1997-01-02,66833.33333333333,66818.86916666667,4957.608333333334,2.4,5.94
1997-01-03,67000.0,67150.60833333334,4957.616666666667,2.2,5.94
1997-01-04,67333.33333333333,67482.3475,4957.625,2.1,6.043333333333334
1997-01-05,67666.66666666667,67814.08666666667,4957.633333333333,2.1,6.1466666666666665
1997-01-06,68000.0,68145.82583333334,4957.641666666666,2.1,6.25
1997-01-07,68448.33333333333,68477.565,4957.65,2.4,6.416666666666667
1997-01-08,68896.66666666667,68809.30416666667,4957.658333333334,2.3,6.583333333333333
1997-01-09,69345.0,69141.04333333333,4957.666666666667,2.2,6.75
1997-01-10,69563.33333333333,69472.7825,4957.675,2.2,6.916666666666667
1997-01-11,69781.66666666667,69804.52166666667,4957.683333333333,2.1,7.083333333333333
1997-01-12,70000.0,70136.26083333333,4957.691666666667,1.9,7.25
1998-01-01,70000.0,70468.0,4957.7,1.8,7.25
1998-01-02,70000.0,70680.25,4957.583333333333,1.8,7.25
1998-01-03,70000.0,70892.5,4957.466666666666,1.9,7.25
1998-01-04,70333.33333333333,71104.75,4957.35,2.1,7.333333333333333
1998-01-05,70666.66666666667,71317.0,4957.233333333334,2.2,7.416666666666667
1998-01-06,71000.0,71529.25,4957.116666666667,1.9,7.5
1998-01-07,71333.33333333333,71741.5,4957.0,1.7,7.5
1998-01-08,71666.66666666667,71953.75,4956.883333333333,1.6,7.5
1998-01-09,72000.0,72166.0,4956.766666666666,1.7,7.5
1998-01-10,72333.33333333333,72378.25,4956.65,1.6,7.083333333333333
1998-01-11,72666.66666666667,72590.5,4956.533333333334,1.7,6.666666666666667
1998-01-12,73000.0,72802.75,4956.416666666667,1.9,6.25
1999-01-01,73000.0,73015.0,4956.3,2.0,6.0
1999-01-02,73000.0,73229.75,4956.491666666667,1.9,5.75
1999-01-03,73000.0,73444.5,4956.683333333333,2.1,5.5
1999-01-04,73000.0,73659.25,4956.875,2.0,5.333333333333333
1999-01-05,73000.0,73874.0,4957.066666666667,1.7,5.166666666666667
1999-01-06,73000.0,74088.75,4957.258333333333,1.8,5.0
1999-01-07,73000.0,74303.5,4957.450000000001,1.7,5.083333333333333
1999-01-08,73000.0,74518.25,4957.641666666667,1.6,5.166666666666667
1999-01-09,73000.0,74733.0,4957.833333333334,1.6,5.25
1999-01-10,73825.0,74947.75,4958.025000000001,1.5,5.333333333333333
1999-01-11,74650.0,75162.5,4958.216666666667,1.5,5.416666666666667
1999-01-12,75475.0,75377.25,4958.408333333334,1.5,5.5
2000-01-01,75983.33333333333,75592.0,4958.6,1.2,5.583333333333333
2000-01-02,76491.66666666667,75882.5,4960.1,1.2,5.666666666666667
2000-01-03,77000.0,76173.0,4961.6,1.0,5.75
2000-01-04,78000.0,76463.5,4963.1,0.9,5.75
2000-01-05,79000.0,76754.0,4964.6,1.0,5.75
2000-01-06,80000.0,77044.5,4966.1,1.2,5.75
2000-01-07,81000.0,77335.0,4967.6,1.2,5.75
2000-01-08,82000.0,77625.5,4969.1,1.0,5.75
2000-01-09,83000.0,77916.0,4970.6,1.3,5.75
2000-01-10,83416.66666666667,78206.5,4972.1,1.4,5.75
2000-01-11,83833.33333333333,78497.0,4973.6,1.5,5.75
2000-01-12,84250.0,78787.5,4975.1,1.2,5.75
2001-01-01,84500.0,79078.0,4976.6,1.2,5.75
2001-01-02,84750.0,79434.91666666667,4978.558333333333,1.2,5.75
2001-01-03,85000.0,79791.83333333333,4980.516666666667,1.3,5.75
2001-01-04,86000.0,80148.75,4982.475,1.5,5.583333333333333
2001-01-05,87000.0,80505.66666666667,4984.433333333333,1.9,5.416666666666667
2001-01-06,88000.0,80862.58333333333,4986.391666666667,1.9,5.25
2001-01-07,89833.33333333333,81219.5,4988.35,1.7,5.083333333333333
2001-01-08,91666.66666666667,81576.41666666667,4990.308333333333,2.1,4.916666666666667
2001-01-09,93500.0,81933.33333333333,4992.266666666667,1.7,4.75
2001-01-10,94416.66666666667,82290.25,4994.225,1.6,4.5
2001-01-11,95333.33333333333,82647.16666666667,4996.183333333333,1.2,4.25
2001-01-12,96250.0,83004.08333333333,4998.141666666667,1.4,4.0
2002-01-01,97358.33333333333,83361.0,5000.1,1.8,4.0
2002-01-02,98466.66666666667,83829.0,5002.283333333334,1.7,4.0
2002-01-03,99575.0,84297.0,5004.466666666667,1.7,4.0
2002-01-04,101383.33333333333,84765.0,5006.650000000001,1.6,4.0
2002-01-05,103191.66666666667,85233.0,5008.833333333334,1.2,4.0
2002-01-06,105000.0,85701.0,5011.016666666667,1.1,4.0
2002-01-07,107000.0,86169.0,5013.200000000001,1.4,4.0
2002-01-08,109000.0,86637.0,5015.383333333333,1.3,4.0
2002-01-09,111000.0,87105.0,5017.566666666667,1.2,4.0
2002-01-10,112333.33333333333,87573.0,5019.75,1.5,4.0
2002-01-11,113666.66666666667,88041.0,5021.933333333333,1.6,4.0
2002-01-12,115000.0,88509.0,5024.116666666667,1.7,4.0
2003-01-01,116666.66666666667,88977.0,5026.3,1.4,3.9166666666666665
2003-01-02,118333.33333333333,89413.83333333333,5029.375,1.6,3.8333333333333335
2003-01-03,120000.0,89850.66666666667,5032.45,1.6,3.75
2003-01-04,122666.66666666667,90287.5,5035.525,1.5,3.75
2003-01-05,125333.33333333333,90724.33333333333,5038.6,1.3,3.75
2003-01-06,128000.0,91161.16666666667,5041.675,1.2,3.75
2003-01-07,128916.66666666667,91598.0,5044.75,1.3,3.6666666666666665
2003-01-08,129833.33333333333,92034.83333333333,5047.825,1.4,3.5833333333333335
2003-01-09,130750.0,92471.66666666667,5050.9,1.3,3.5
2003-01-10,134166.66666666666,92908.5,5053.975,1.3,3.5833333333333335
2003-01-11,137583.33333333334,93345.33333333333,5057.05,1.3,3.6666666666666665
2003-01-12,141000.0,93782.16666666667,5060.125,1.3,3.75
2004-01-01,143500.0,94219.0,5063.2,1.5,3.8333333333333335
2004-01-02,146000.0,94605.16666666667,5066.966666666666,1.4,3.9166666666666665
2004-01-03,148500.0,94991.33333333333,5070.733333333334,1.2,4.0
2004-01-04,151000.0,95377.5,5074.5,1.1,4.083333333333333
2004-01-05,153500.0,95763.66666666667,5078.266666666666,1.4,4.166666666666667
2004-01-06,156000.0,96149.83333333333,5082.033333333333,1.5,4.25
2004-01-07,160666.66666666666,96536.0,5085.799999999999,1.4,4.416666666666667
2004-01-08,165333.33333333334,96922.16666666667,5089.566666666667,1.4,4.583333333333333
2004-01-09,170000.0,97308.33333333333,5093.333333333333,1.2,4.75
2004-01-10,172500.0,97694.5,5097.099999999999,1.3,4.75
2004-01-11,175000.0,98080.66666666667,5100.866666666667,1.5,4.75
2004-01-12,177500.0,98466.83333333333,5104.633333333333,1.8,4.75
2005-01-01,179666.66666666666,98853.0,5108.4,1.7,4.75
2005-01-02,181833.33333333334,99247.0,5110.533333333333,1.7,4.75
2005-01-03,184000.0,99641.0,5112.666666666666,2.0,4.75
2005-01-04,184333.33333333334,100035.0,5114.799999999999,1.9,4.75
2005-01-05,184666.66666666666,100429.0,5116.933333333333,1.9,4.75
2005-01-06,185000.0,100823.0,5119.066666666667,2.0,4.75
2005-01-07,185333.33333333334,101217.0,5121.2,2.3,4.666666666666667
2005-01-08,185666.66666666666,101611.0,5123.333333333333,2.4,4.583333333333333
2005-01-09,186000.0,102005.0,5125.466666666666,2.5,4.5
2005-01-10,184833.33333333334,102399.0,5127.6,2.4,4.5
2005-01-11,183666.66666666666,102793.0,5129.733333333334,2.2,4.5
2005-01-12,182500.0,103187.0,5131.866666666667,2.1,4.5
2006-01-01,183000.0,103581.0,5134.0,2.2,4.5
2006-01-02,183500.0,104053.66666666667,5136.508333333333,2.2,4.5
2006-01-03,184000.0,104526.33333333333,5139.016666666666,2.0,4.5
